koi_period,koi_duration,koi_depth,koi_model_snr,koi_impact,koi_time0bk,koi_steff,koi_slogg,koi_srad,koi_smet,koi_kepmag,duty_cycle,rp_rs,koi_disposition
9488035570,295750,6158000,35.80,1460,1705387500,5455.00,4467,9270,1400,15347,"0,00000129878483","2,481531785",CONFIRMED
54418382700,450700,8748000,76.30,5860,1625138400,5455.00,4467,9270,1400,15347,"0,0000003450886582","2,957701811",CONFIRMED
19899139950,178220,108290000,,9690,1758502520,5853.00,4544,8680,-1800,15436,"0,000000373173582","10,40624812",CANDIDATE
1736952453,240641,80792000,505.60,314110,1703075650,5805.00,4564,7910,-5200,15597,"0,00000577258653","8,988437017",FALSE POSITIVE
2525591777,165450,6033000,40.90,7010,1715955500,6031.00,4438,-525947,700,15509,"0,000002729558301","2,456216603",CONFIRMED
11094320540,459450,15175000,66.50,5380,1712011600,6046.00,4486,9720,-800,15714,"0,00000172554506","3,895510236",CONFIRMED
4134435120,314020,6860000,40.20,7620,1729793700,6046.00,4486,9720,-800,15714,"0,000003164680612","2,619160171",CONFIRMED
2566588970,242900,2265000,15.00,7550,1795543700,6046.00,4486,9720,-800,15714,"0,000003943301188","1,504991694",CONFIRMED
7361789580,502200,2337000,47.70,-76698,1322505300,6227.00,3986,2805064,0,12660,"0,000002842379529","1,528724959",FALSE POSITIVE
16068646740,353470,49143000,161.90,520,1736219370,5031.00,4485,8480,1600,15841,"0,0000009165623531","7,010206844",CONFIRMED
2470613377,174319,142310000,4304.30,8180,1227633050,5820.00,4457,9640,-600,11338,"0,000002939873852","11,92937551",CONFIRMED
2204735417,388864,66747000,5945.90,2240,1213585417,6440.00,4019,2783149,1400,10463,"0,000007349029975","8,16988372",CONFIRMED
3522498429,319843,91457000,1741.50,6310,1211194228,6225.00,4169,953285,-400,13563,"0,000003783335021","9,563315325",CONFIRMED
3709214104,263020,1311000,50.60,510,1339831800,5833.00,4407,-613606,-400,12772,"0,000002954579153","1,144989083",CONFIRMED
11521446064,363990,179840000,622.10,1070194,1708396880,5795.00,4554,8480,-2000,15472,"0,00000131634952","13,41044369",FALSE POSITIVE
19403937760,1221550,89187000,214.70,8040,1724842530,5043.00,4591,6800,-5400,15487,"0,000002623071528","9,443886912",FALSE POSITIVE
19221388942,479843,742840000,2317.00,-456551,1845521637,6117.00,4496,9470,-2200,15341,"0,000001040167201","27,25509127",FALSE POSITIVE
16469837740,943780,104790000,303.40,2920,1808817610,5152.00,4517,7860,-2000,15788,"0,000002387647486","10,23669869",FALSE POSITIVE
9273581730,328750,12883000,87.20,3870,1732581550,4856.00,4583,6960,-3000,15302,"0,000001477090197","3,589289623",CONFIRMED
6029303290,158210,19127000,65.40,2580,1716029590,4537.00,4648,6720,2100,15784,"0,000001093340808","4,37344258",CONFIRMED
2696370652,361290,3979000,48.20,440,1707376900,4989.00,4504,8190,1000,15269,"0,000005582967605","1,994743091",FALSE POSITIVE
5349553819,302780,8310000,60.60,920,1718069400,5185.00,4440,9100,1600,15416,"0,000002358296366","2,882707061",CONFIRMED
3941052210,259840,3633000,28.90,2260,1360866200,5185.00,4440,9100,1600,15416,"0,000002747151291","1,906043022",CONFIRMED
8109048070,359600,2174000,45944,250,1328031000,5185.00,4440,9100,1600,15416,"0,00000184773024","1,47444905",CONFIRMED
386603052800,680570,249270000,994.00,9765,1663420790,5543.00,4081,1424448,4400,12394,"0,00000007334935182","15,7882868",FALSE POSITIVE
21676991930,345550,8572000,34.30,8960,1715359400,4954.00,4500,8280,1800,15377,"0,0000006642027046","2,927797807",CONFIRMED
4996779680,217170,9347000,28.20,7100,1717420800,5339.00,4552,8470,1800,15861,"0,000001810916346","3,057286378",CONFIRMED
4280963604,287500,7508000,61.80,4240,1718965900,5644.00,4564,8310,-1400,15356,"0,000002798240717","2,740072992",CONFIRMED
1506354090,151550,22117000,181.10,8600,1709980640,5714.00,4563,8310,-2000,15525,"0,000004191964808","4,702871463",FALSE POSITIVE
670645531000,5341200,180910000,642.70,7010,2090435500,5520.00,4466,9830,4800,15207,"0,0000003318444539","13,45027881",FALSE POSITIVE
61256362800,763300,51233000,85.30,211843,1738382600,6144.00,4402,-361588,0,15250,"0,0000005191977651","7,157723102",FALSE POSITIVE
38377548600,558800,7242000,34.70,4680,1728204800,5481.00,4369,-562472,1600,15172,"0,000000606691521","2,691096431",CONFIRMED
41197255020,462970,22139000,51.20,450,1650040400,5031.00,4485,8480,1600,15841,"0,0000004682451939","4,705209878",CONFIRMED
6252962249,258190,10369000,47.10,1050,1713012600,5031.00,4485,8480,1600,15841,"0,000001720451242","3,220093166",CONFIRMED
16013084190,325540,11219000,33.20,7990,1763608000,5015.00,4499,8260,1000,15390,"0,000000847067717","3,349477571",CONFIRMED
32628766720,479710,18048000,80.00,210,1941019000,5586.00,4560,7980,-3000,15082,"0,0000006125857235","4,248293775",CONFIRMED
91773286200,647300,6520000,45949,6060,1938378000,5586.00,4560,7980,-3000,15082,"0,000000293885448","2,553429067",CONFIRMED
4959319244,222739,98020000,696.50,8310,1722585292,5712.00,4359,-394460,1000,15263,"0,000001871384198","9,900505038",CONFIRMED
2701287801,338270,8604000,48.30,-635520,1706957900,5550.00,4468,9100,-400,15540,"0,000005217727385","2,933257575",FALSE POSITIVE
4498765110,373620,4600000,29.50,3120,1713490500,6075.00,4486,9690,-1200,15395,"0,000003460394046","2,144761059",CONFIRMED
19651209505,525140,117660000,513.40,7230,1794019810,6074.00,4391,-463856,-1200,15536,"0,000001113459878","10,84711943",FALSE POSITIVE
5412203927,294720,6016000,166.70,7870,1331430890,5779.00,4339,-376197,-600,12791,"0,000002268946286","2,452753555",CONFIRMED
41439586620,1059890,27931000,141.10,3550,2089320300,5468.00,4367,-525947,2200,15400,"0,00000106569797","5,284978713",CONFIRMED
8353895230,225140,10416000,43.40,230,1716325700,5592.00,4582,7870,-2800,15317,"0,000001122929253","3,227382841",CONFIRMED
4125543472,317440,14873000,128.60,5970,1697525850,6174.00,4417,-317759,1000,15506,"0,000003206042248","3,856552865",CONFIRMED
