koi_period,koi_duration,koi_depth,koi_model_snr,koi_impact,koi_time0bk,koi_steff,koi_slogg,koi_srad,koi_smet,koi_kepmag,duty_cycle,rp_rs,koi_disposition
9.488.035.570,295.750,"6,16E+06",35.80,1.460,1.705.387.500,5455.00,4.467,9.270,1.400,15.347,"0,00000129878483","2,481531785",CONFIRMED
54.418.382.700,450.700,"8,75E+06",76.30,5.860,1.625.138.400,5455.00,4.467,9.270,1.400,15.347,"0,0000003450886582","2,957701811",CONFIRMED
19.899.139.950,178.220,"1,08E+08",,9.690,1.758.502.520,5853.00,4.544,8.680,-1.800,15.436,"0,000000373173582","10,40624812",CANDIDATE
1.736.952.453,240.641,"8,08E+07",505.60,1.2760,1.703.075.650,5805.00,4.564,7.910,-5.200,15.597,"0,00000577258653","8,988437017",FALSE POSITIVE
2.525.591.777,165.450,"6,03E+06",40.90,7.010,1.715.955.500,6031.00,4.438,1.0460,700,15.509,"0,000002729558301","2,456216603",CONFIRMED
11.094.320.540,459.450,"1,52E+07",66.50,5.380,1.712.011.600,6046.00,4.486,9.720,-800,15.714,"0,00000172554506","3,895510236",CONFIRMED
4.134.435.120,314.020,"6,86E+06",40.20,7.620,1.729.793.700,6046.00,4.486,9.720,-800,15.714,"0,000003164680612","2,619160171",CONFIRMED
2.566.588.970,242.900,"2,27E+06",15.00,7.550,1.795.543.700,6046.00,4.486,9.720,-800,15.714,"0,000003943301188","1,504991694",CONFIRMED
7.361.789.580,502.200,"2,34E+06",47.70,1.1690,1.322.505.300,6227.00,3.986,1.9580,0,12.660,"0,000002842379529","1,528724959",FALSE POSITIVE
16.068.646.740,353.470,"4,91E+07",161.90,520,1.736.219.370,5031.00,4.485,8.480,1.600,15.841,"0,0000009165623531","7,010206844",CONFIRMED
2.470.613.377,174.319,"1,42E+08",4304.30,8.180,1.227.633.050,5820.00,4.457,9.640,-600,11.338,"0,000002939873852","11,92937551",CONFIRMED
2.204.735.417,388.864,"6,67E+07",5945.90,2.240,1.213.585.417,6440.00,4.019,1.9520,1.400,10.463,"0,000007349029975","8,16988372",CONFIRMED
3.522.498.429,319.843,"9,15E+07",1741.50,6.310,1.211.194.228,6225.00,4.169,1.4510,-400,13.563,"0,000003783335021","9,563315325",CONFIRMED
3.709.214.104,263.020,"1,31E+06",50.60,510,1.339.831.800,5833.00,4.407,1.0220,-400,12.772,"0,000002954579153","1,144989083",CONFIRMED
11.521.446.064,363.990,"1,80E+08",622.10,2.4830,1.708.396.880,5795.00,4.554,8.480,-2.000,15.472,"0,00000131634952","13,41044369",FALSE POSITIVE
19.403.937.760,1.221.550,"8,92E+07",214.70,8.040,1.724.842.530,5043.00,4.591,6.800,-5.400,15.487,"0,000002623071528","9,443886912",FALSE POSITIVE
19.221.388.942,479.843,"7,43E+08",2317.00,1.0650,1.845.521.637,6117.00,4.496,9.470,-2.200,15.341,"0,000001040167201","27,25509127",FALSE POSITIVE
16.469.837.740,943.780,"1,05E+08",303.40,2.920,1.808.817.610,5152.00,4.517,7.860,-2.000,15.788,"0,000002387647486","10,23669869",FALSE POSITIVE
9.273.581.730,328.750,"1,29E+07",87.20,3.870,1.732.581.550,4856.00,4.583,6.960,-3.000,15.302,"0,000001477090197","3,589289623",CONFIRMED
6.029.303.290,158.210,"1,91E+07",65.40,2.580,1.716.029.590,4537.00,4.648,6.720,2.100,15.784,"0,000001093340808","4,37344258",CONFIRMED
2.696.370.652,361.290,"3,98E+06",48.20,440,1.707.376.900,4989.00,4.504,8.190,1.000,15.269,"0,000005582967605","1,994743091",FALSE POSITIVE
5.349.553.819,302.780,"8,31E+06",60.60,920,1.718.069.400,5185.00,4.440,9.100,1.600,15.416,"0,000002358296366","2,882707061",CONFIRMED
3.941.052.210,259.840,"3,63E+06",28.90,2.260,1.360.866.200,5185.00,4.440,9.100,1.600,15.416,"0,000002747151291","1,906043022",CONFIRMED
8.109.048.070,359.600,"2,17E+06",14.10,250,1.328.031.000,5185.00,4.440,9.100,1.600,15.416,"0,00000184773024","1,47444905",CONFIRMED
386.603.052.800,680.570,"2,49E+08",994.00,9.765,1.663.420.790,5543.00,4.081,1.5800,4.400,12.394,"0,00000007334935182","15,7882868",FALSE POSITIVE
21.676.991.930,345.550,"8,57E+06",34.30,8.960,1.715.359.400,4954.00,4.500,8.280,1.800,15.377,"0,0000006642027046","2,927797807",CONFIRMED
4.996.779.680,217.170,"9,35E+06",28.20,7.100,1.717.420.800,5339.00,4.552,8.470,1.800,15.861,"0,000001810916346","3,057286378",CONFIRMED
4.280.963.604,287.500,"7,51E+06",61.80,4.240,1.718.965.900,5644.00,4.564,8.310,-1.400,15.356,"0,000002798240717","2,740072992",CONFIRMED
1.506.354.090,151.550,"2,21E+07",181.10,8.600,1.709.980.640,5714.00,4.563,8.310,-2.000,15.525,"0,000004191964808","4,702871463",FALSE POSITIVE
670.645.531.000,5.341.200,"1,81E+08",642.70,7.010,2.090.435.500,5520.00,4.466,9.830,4.800,15.207,"0,0000003318444539","13,45027881",FALSE POSITIVE
61.256.362.800,763.300,"5,12E+07",85.30,1.2480,1.738.382.600,6144.00,4.402,1.0910,0,15.250,"0,0000005191977651","7,157723102",FALSE POSITIVE
38.377.548.600,558.800,"7,24E+06",34.70,4.680,1.728.204.800,5481.00,4.369,1.0360,1.600,15.172,"0,000000606691521","2,691096431",CONFIRMED
41.197.255.020,462.970,"2,21E+07",51.20,450,1.650.040.400,5031.00,4.485,8.480,1.600,15.841,"0,0000004682451939","4,705209878",CONFIRMED
6.252.962.249,258.190,"1,04E+07",47.10,1.050,1.713.012.600,5031.00,4.485,8.480,1.600,15.841,"0,000001720451242","3,220093166",CONFIRMED
16.013.084.190,325.540,"1,12E+07",33.20,7.990,1.763.608.000,5015.00,4.499,8.260,1.000,15.390,"0,000000847067717","3,349477571",CONFIRMED
32.628.766.720,479.710,"1,80E+07",80.00,210,1.941.019.000,5586.00,4.560,7.980,-3.000,15.082,"0,0000006125857235","4,248293775",CONFIRMED
91.773.286.200,647.300,"6,52E+06",19.10,6.060,1.938.378.000,5586.00,4.560,7.980,-3.000,15.082,"0,000000293885448","2,553429067",CONFIRMED
4.959.319.244,222.739,"9,80E+07",696.50,8.310,1.722.585.292,5712.00,4.359,1.0820,1.000,15.263,"0,000001871384198","9,900505038",CONFIRMED
2.701.287.801,338.270,"8,60E+06",48.30,1.0160,1.706.957.900,5550.00,4.468,9.100,-400,15.540,"0,000005217727385","2,933257575",FALSE POSITIVE
4.498.765.110,373.620,"4,60E+06",29.50,3.120,1.713.490.500,6075.00,4.486,9.690,-1.200,15.395,"0,000003460394046","2,144761059",CONFIRMED
19.651.209.505,525.140,"1,18E+08",513.40,7.230,1.794.019.810,6074.00,4.391,1.0630,-1.200,15.536,"0,000001113459878","10,84711943",FALSE POSITIVE
